rank,nameWithOwner,url,stars,forks,watchers,releases,created_at,age_years
65,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,25132,9435,842,483,2010-11-22T21:21:23Z,15.34
66,libgdx/libgdx,https://github.com/libgdx/libgdx,24951,6534,1129,15,2012-08-10T19:34:38Z,13.62
67,apache/skywalking,https://github.com/apache/skywalking,24764,6640,813,63,2015-11-07T03:30:36Z,10.38
68,greenrobot/EventBus,https://github.com/greenrobot/EventBus,24746,4649,1031,7,2012-07-16T16:55:40Z,13.69
69,Netflix/Hystrix,https://github.com/Netflix/Hystrix,24467,4705,1640,79,2012-11-19T20:14:46Z,13.35
70,google/gson,https://github.com/google/gson,24349,4417,736,12,2015-03-19T18:21:20Z,11.02
71,redisson/redisson,https://github.com/redisson/redisson,24275,5499,868,178,2014-01-11T14:06:25Z,12.2
72,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,24149,3899,667,28,2012-03-19T17:46:53Z,14.02
73,dataease/dataease,https://github.com/dataease/dataease,23679,4059,179,105,2021-02-02T04:10:21Z,5.14
74,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,23570,800,166,0,2012-11-24T00:14:41Z,13.33
75,LSPosed/LSPosed,https://github.com/LSPosed/LSPosed,23244,3537,319,39,2020-12-12T08:39:37Z,5.28
76,doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,23136,4257,440,0,2019-10-28T01:35:10Z,6.41
77,alibaba/Sentinel,https://github.com/alibaba/Sentinel,23105,8151,766,26,2018-04-04T06:37:33Z,7.98
78,ashishps1/awesome-low-level-design,https://github.com/ashishps1/awesome-low-level-design,22924,5638,156,0,2023-11-17T10:15:12Z,2.35
79,openjdk/jdk,https://github.com/openjdk/jdk,22739,6294,364,0,2018-09-17T12:29:20Z,7.52
80,apache/rocketmq,https://github.com/apache/rocketmq,22387,11991,850,24,2016-11-30T08:00:08Z,9.32
81,kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,22384,13212,519,0,2021-07-30T12:23:25Z,4.65
82,google/ExoPlayer,https://github.com/google/ExoPlayer,21936,6014,832,28,2014-06-13T21:19:18Z,11.78
83,elunez/eladmin,https://github.com/elunez/eladmin,21936,7370,548,1,2018-12-14T08:54:24Z,7.28
84,oracle/graal,https://github.com/oracle/graal,21532,1784,450,32,2016-01-14T17:11:35Z,10.2
85,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,21431,4323,432,64,2016-11-13T12:34:31Z,9.36
86,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,21422,6198,576,77,2016-12-01T09:33:30Z,9.31
87,brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,21075,3013,697,0,2013-10-08T05:43:03Z,12.46
88,apache/shardingsphere,https://github.com/apache/shardingsphere,20703,6913,964,59,2016-01-18T12:49:26Z,10.18
89,didi/DoKit,https://github.com/didi/DoKit,20434,3190,388,14,2018-08-14T10:32:07Z,7.61
90,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,20401,12945,1131,46,2013-02-14T19:03:32Z,13.11
91,linlinjava/litemall,https://github.com/linlinjava/litemall,20209,7338,728,8,2018-03-22T16:42:30Z,8.01
92,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,20181,2945,980,20,2014-08-19T03:46:38Z,11.6
93,yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,20077,6178,807,0,2018-09-12T14:51:46Z,7.53
94,JetBrains/intellij-community,https://github.com/JetBrains/intellij-community,19876,5706,542,24,2011-09-30T13:33:05Z,14.49
95,dianping/cat,https://github.com/dianping/cat,18971,5423,1108,3,2012-12-05T02:31:48Z,13.3
96,lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region,18872,2988,438,21,2015-11-02T00:43:13Z,10.4
97,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,18859,3923,627,5,2012-07-17T16:39:00Z,13.69
98,antlr/antlr4,https://github.com/antlr/antlr4,18806,3426,365,31,2010-02-04T01:36:28Z,16.14
99,YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,18709,4687,334,40,2019-05-02T16:06:49Z,6.9
100,dromara/Sa-Token,https://github.com/dromara/Sa-Token,18707,2888,152,39,2020-02-03T10:34:29Z,6.14
